Dota 2,4841
Team Fortress 2,2323
Counter-Strike Global Offensive,1377
Unturned,1069
Left 4 Dead 2,801
Counter-Strike Source,715
The Elder Scrolls V Skyrim,677
Garry's Mod,666
Counter-Strike,568
Sid Meier's Civilization V,554
Terraria,460
Portal 2,453
Warframe,424
Portal,417
Robocraft,407
PAYDAY 2,390
Borderlands 2,386
Half-Life 2,356
Heroes & Generals,335
War Thunder,303
Call of Duty Modern Warfare 2,297
Call of Duty Modern Warfare 2 - Multiplayer,291
Alien Swarm,289
Fallout New Vegas,287
Grand Theft Auto V,269
Trove,253
DayZ,246
No More Room in Hell,230
Call of Duty Black Ops,227
Grand Theft Auto IV,226
Counter-Strike Condition Zero,225
Empire Total War,214
BioShock Infinite,212
Call of Duty Modern Warfare 3,211
PlanetSide 2,210
Rust,207
Left 4 Dead,204
Tomb Raider,204
Torchlight II,204
PAYDAY The Heist,202
Age of Empires II HD Edition,200
Call of Duty Black Ops - Multiplayer,198
Half-Life 2 Deathmatch,198
Saints Row The Third,197
Call of Duty Modern Warfare 3 - Multiplayer,196
Dirty Bomb,195
Chivalry Medieval Warfare,193
Magicka,193
Killing Floor,191
Path of Exile,191
Arma 2 Operation Arrowhead,189
Just Cause 2,186
Counter-Strike Nexon Zombies,184
Dead Island,182
Far Cry 3,181
Total War SHOGUN 2,179
Half-Life 2 Lost Coast,177
Loadout,177
Sniper Elite V2,177
Metro 2033,175
Euro Truck Simulator 2,171
Nosgoth,171
The Witcher 2 Assassins of Kings Enhanced Edition,170
The Binding of Isaac,168
Fallout 4,167
Warface,167
Day of Defeat Source,166
XCOM Enemy Unknown,161
ARK Survival Evolved,158
Arma 3,157
Don't Starve,157
DC Universe Online,154
Castle Crashers,153
Total War ROME II - Emperor Edition,153
Call of Duty Black Ops II - Multiplayer,151
Don't Starve Together Beta,150
Rocket League,149
Half-Life 2 Episode One,148
Arma 2,147
Borderlands,146
Insurgency,146
Dishonored,145
Clicker Heroes,144
BioShock,143
Hitman Absolution,142
AdVenture Capitalist,141
Half-Life 2 Episode Two,141
APB Reloaded,138
Deus Ex Human Revolution,138
H1Z1,137
Tom Clancy's Ghost Recon Phantoms - EU,137
Neverwinter,136
Napoleon Total War,135
Tom Clancy's Ghost Recon Phantoms - NA,133
Starbound,132
Warhammer 40 000 Dawn of War II,132
Trine 2,131
Goat Simulator,130
Saints Row IV,129
The Forest,128
Dead Island Epidemic,127
FTL Faster Than Light,126
Super Meat Boy,125
theHunter,124
BLOCKADE 3D,120
The Witcher Enhanced Edition,120
Mirror's Edge,119
Rising Storm/Red Orchestra 2 Multiplayer,119
Grand Theft Auto San Andreas,118
TERA,118
Half-Life,116
Mafia II,116
Call of Duty Black Ops II - Zombies,115
Cities Skylines,115
Magicka Wizard Wars,115
Amnesia The Dark Descent,113
Call of Duty Black Ops II,113
Mount & Blade Warband,113
Serious Sam HD The Second Encounter,113
Battlefield Bad Company 2,111
Dungeon Defenders,111
Marvel Heroes 2015,111
Star Wars - Battlefront II,111
The Walking Dead,111
Batman Arkham Asylum GOTY Edition,110
Dark Souls Prepare to Die Edition,110
HAWKEN,110
Batman Arkham City GOTY,109
Bastion,107
BattleBlock Theater,106
Football Manager 2013,104
Fallout 3 - Game of the Year Edition,102
Space Engineers,102
South Park The Stick of Truth,99
The Stanley Parable,99
7 Days to Die,98
Batman Arkham Origins,98
Prison Architect,98
Middle-earth Shadow of Mordor,97
Natural Selection 2,97
Realm of the Mad God,96
Counter-Strike Condition Zero Deleted Scenes,94
Day of Defeat,94
Hotline Miami,94
Orcs Must Die! 2,94
Defiance,93
Max Payne 3,93
Cry of Fear,92
Besiege,91
Darksiders,91
FreeStyle2 Street Basketball,91
Kerbal Space Program,90
Crysis 2 Maximum Edition,89
Alan Wake,88
Banished,87
Company of Heroes 2,87
Just Cause 2 Multiplayer Mod,86
Zombie Panic Source,86
Dungeon Defenders II,85
Sleeping Dogs,85
LIMBO,84
Age of Empires III Complete Collection,83
Burnout Paradise The Ultimate Box,83
Metro Last Light,83
Surgeon Simulator,83
Toribash,83
Star Wars Knights of the Old Republic,82
The Mighty Quest For Epic Loot,82
Blacklight Retribution,81
Audiosurf,80
Dying Light,80
ORION Prelude,80
SMITE,80
The Binding of Isaac Rebirth,80
Fistful of Frags,79
Football Manager 2012,79
Survarium,79
Firefall,78
Football Manager 2014,78
Football Manager 2015,77
Quake Live,77
The Witcher 3 Wild Hunt,77
Borderlands The Pre-Sequel,76
Crusader Kings II,76
Medieval II Total War,76
RIFT,75
Risk of Rain,75
Torchlight,75
Grand Theft Auto Episodes from Liberty City,74
Papers  Please,74
Aliens vs. Predator,73
Serious Sam 3 BFE,73
L.A. Noire,72
Trine,72
Ace of Spades,71
DARK SOULS II,71
Game Dev Tycoon,71
Mark of the Ninja,71
Outlast,71
Call of Duty Ghosts,70
Call of Duty Ghosts - Multiplayer,70
Magic Duels,70
GunZ 2 The Second Duel,69
Mass Effect,69
Warhammer 40 000 Dawn of War II  Retribution,69
World of Guns Gun Disassembly,69
Awesomenauts,68
Call of Duty World at War,68
Gotham City Impostors Free To Play,68
Guns of Icarus Online,68
Thief,68
Tropico 4,68
Darksiders II,67
Divinity Original Sin,67
Infestation Survivor Stories,67
Insurgency Modern Infantry Combat,67
Scribblenauts Unlimited,67
BioShock 2,66
METAL GEAR SOLID V THE PHANTOM PAIN,66
Planetary Annihilation,66
RAGE,66
Source Filmmaker,66
The Elder Scrolls IV Oblivion ,66
Brawlhalla,65
Dead Space,65
Mortal Kombat Komplete Edition,65
Dino D-Day,64
Monaco,64
Spiral Knights,64
State of Decay,64
The Expendabros,64
Company of Heroes (New Steam Version),63
FINAL FANTASY VII,63
Rogue Legacy,63
Company of Heroes,62
Orcs Must Die!,62
Rome Total War,62
Tactical Intervention,62
Wolfenstein The New Order,62
Call of Duty Advanced Warfare - Multiplayer,61
Sid Meier's Civilization Beyond Earth,61
Call of Duty 4 Modern Warfare,60
Archeblade,59
Arma 2 DayZ Mod,59
Assassin's Creed II,59
Dragon Age Origins - Ultimate Edition,59
Age of Chivalry,58
Spore,58
sZone-Online,58
Titan Quest,58
GRID 2,57
Saints Row 2,57
SimCity 4 Deluxe,57
Assassin's Creed III,56
How to Survive,56
Mass Effect 2,56
Need for Speed Hot Pursuit,56
Plants vs. Zombies Game of the Year,56
Spec Ops The Line,56
Anno 2070,55
Crysis,55
Happy Wars,55
Mitos.is The Game,55
SpeedRunners,55
Warhammer 40 000 Dawn of War II - Chaos Rising,55
Aftermath,54
Assassin's Creed IV Black Flag,54
Deus Ex Human Revolution - Director's Cut,54
Gear Up,54
RaceRoom Racing Experience ,54
Star Conflict,54
This War of Mine,54
America's Army Proving Grounds,53
Dead Island Riptide,53
F.E.A.R. 3,53
Far Cry 2,53
Sanctum 2,53
Sniper Elite 3,53
Call of Duty Advanced Warfare,52
FEZ,52
Sniper Ghost Warrior,52
Supreme Commander 2,52
Endless Space,51
The Lord of the Rings War in the North,51
Antichamber,50
Europa Universalis IV,50
Hammerwatch,50
POSTAL 2,50
Star Trek Online,50
Train Simulator,50
Universe Sandbox,50
Worms Reloaded,50
Contagion,49
DiRT 3,49
Far Cry 3 Blood Dragon,49
Fishing Planet,49
Red Faction Armageddon,49
Reus,49
Warhammer 40 000 Space Marine,49
WARMODE,49
Emily is Away,48
Fallen Earth,48
Killing Floor 2,48
STAR WARS Knights of the Old Republic II The Sith Lords,48
Stronghold 3,48
The Walking Dead Season Two,48
Worms Revolution,48
Call of Juarez Gunslinger,47
Injustice Gods Among Us Ultimate Edition,47
Sakura Clicker,47
Sins of a Solar Empire Rebellion,47
Stronghold Kingdoms,47
Block N Load,46
Dust An Elysian Tail,46
Grand Theft Auto Vice City,46
Half-Life Blue Shift,46
Red Crucible Firestorm,46
War of the Roses,46
Double Action Boogaloo,45
